Original order,Sample,population,nonsense_hom,Silent_hom,Missense_hom,silent_het,nonsense_het,missense_het,TOT_MIS_NON_SIL_hom,TOT_MIS_NON_SIL_het,(HIGH|NONSENSE|_hom,(HIGH|NONSENSE|_het,(HIGH|MISSENSE|_hom,(HIGH|MISSENSE|_het,Total_HIGH_hom,Total_HIGH_het,(MODERATE|MISSENSE|_hom,(MODERATE|MISSENSE|_het,High_tot_hom,High_tot_het,Mod_tot_hom,Mod_tot_het
3,Tiger_Bengal_n5_annoted_classic_SRR13500756_derived.txt:,Bengal Tiger,5,608,440,2225,18,1353,1053,3596,5,18,1,4,6,22,439,1348,0.005698006,0.006117909,0.416904084,0.374860957
48,Tiger_Bengal_n5_annoted_classic_SRR13500762_derived.txt:,Bengal Tiger,5,1155,723,3607,35,2488,1883,6130,5,35,3,8,8,43,721,2480,0.00424854,0.007014682,0.382899628,0.4045677
42,Tiger_Malayan_n5_annoted_classic_SRR13647621_derived.txt:,Malayan Tiger,21,2039,1403,2623,28,1783,3463,4434,21,28,6,2,27,30,1397,1780,0.007796708,0.0067659,0.40340745,0.401443392
23,Tiger_Malayan_n5_annoted_classic_SRR13647627_derived.txt:,Malayan Tiger,11,1670,1182,2017,35,1624,2863,3676,11,35,3,5,14,40,1178,1619,0.004889976,0.010881393,0.411456514,0.440424374
52,Tiger_Malayan_n5_annoted_classic_SRS8209294_derived.txt:,Malayan Tiger,9,1459,978,3426,38,2601,2446,6065,9,38,2,6,11,44,976,2595,0.004497138,0.00725474,0.399018806,0.427864798
31,Tiger_Malayan_n5_annoted_classic_SRS8209296_derived.txt:,Malayan Tiger,8,1264,837,4009,40,2969,2109,7018,8,40,2,9,10,49,835,2960,0.004741584,0.006982046,0.395922238,0.421772585
26,Tiger_Malayan_n5_annoted_classic_SRS8209300_derived.txt:,Malayan Tiger,9,1324,909,5013,46,3307,2242,8366,9,46,3,7,12,53,906,3300,0.005352364,0.006335166,0.404103479,0.394453741
2,Tiger_Sumatran_n5_annoted_classic_SRR13647577_derived.txt:,Sumatran Tiger,28,1928,1419,1345,30,1119,3375,2494,28,30,3,9,31,39,1416,1112,0.009185185,0.01563753,0.419555556,0.445870088
36,Tiger_Sumatran_n5_annoted_classic_SRR13647578_derived.txt:,Sumatran Tiger,22,1841,1381,1211,27,1159,3244,2397,22,27,6,7,28,34,1375,1152,0.008631319,0.014184397,0.423859433,0.480600751
19,Tiger_Sumatran_n5_annoted_classic_SRR13647591_derived.txt:,Sumatran Tiger,23,1904,1382,1099,23,1091,3309,2213,23,23,7,8,30,31,1375,1084,0.009066183,0.014008134,0.415533394,0.489832806
8,Tiger_Sumatran_n5_annoted_classic_SRS8209305_derived.txt:,Sumatran Tiger,17,1945,1291,2744,28,2194,3253,4966,17,28,5,5,22,33,1286,2188,0.006762988,0.006645187,0.39532739,0.440596053
38,Tiger_Sumatran_n5_annoted_classic_SRS8209313_derived.txt:,Sumatran Tiger,22,1945,1285,2983,30,2158,3252,5171,22,30,4,10,26,40,1281,2148,0.00799508,0.007735448,0.393911439,0.415393541
